Source,Type,Target,Weight
krawutschke,Undirected,lehmann,2
krawutschke,Undirected,lude,1
krawutschke,Undirected,bulle,1
krawutschke,Undirected,abramsen,1
krawutschke,Undirected,mieze,2
krawutschke,Undirected,henriette,2
krawutschke,Undirected,angler,2
krawutschke,Undirected,helene,2
krawutschke,Undirected,morphy,1
lehmann,Undirected,lude,1
lehmann,Undirected,bulle,1
lehmann,Undirected,abramsen,1
lehmann,Undirected,mieze,2
lehmann,Undirected,henriette,2
lehmann,Undirected,angler,2
lehmann,Undirected,helene,2
lehmann,Undirected,morphy,1
lude,Undirected,bulle,1
lude,Undirected,abramsen,1
lude,Undirected,mieze,1
lude,Undirected,henriette,1
lude,Undirected,angler,1
lude,Undirected,helene,1
bulle,Undirected,abramsen,1
bulle,Undirected,mieze,1
bulle,Undirected,henriette,1
bulle,Undirected,angler,1
bulle,Undirected,helene,1
abramsen,Undirected,mieze,1
abramsen,Undirected,henriette,1
abramsen,Undirected,angler,1
abramsen,Undirected,helene,1
mieze,Undirected,henriette,2
mieze,Undirected,angler,2
mieze,Undirected,helene,2
mieze,Undirected,morphy,1
henriette,Undirected,angler,2
henriette,Undirected,helene,2
henriette,Undirected,morphy,1
angler,Undirected,helene,2
angler,Undirected,morphy,1
helene,Undirected,morphy,1
der_herr,Undirected,rufe,2
der_herr,Undirected,das_vorstandsmitglied,2
der_herr,Undirected,ein_anderes_vorstandsmitglied,1
rufe,Undirected,das_vorstandsmitglied,2
rufe,Undirected,ein_anderes_vorstandsmitglied,1
das_vorstandsmitglied,Undirected,ein_anderes_vorstandsmitglied,1
